GEO,TIME,DAYSWEEK,SEX,emp,household,leisure,pc,study,travel,unspec,happyness,RAND_1,RAND_2,RAND_3
Bulgaria,2010,W,Male,00:00,00:00,00:00,00:00,00:00,00:00,00:00,5.6,0,0,0
Estonia,2000,All,All,3:42,3:50,4:38,10:33,0:07,1:07,0:04,5.9,9,15,110
Estonia,2000,D,All,4:33,3:39,4:14,10:15,0:08,1:07,0:04,5.9,12,15,110
Estonia,2000,W,All,1:36,4:16,5:38,11:17,0:04,1:05,0:05,5.9,3,20,121
Estonia,2000,All,Female,3:05,4:53,4:18,10:30,0:07,1:02,0:05,5.9,9,20,110
Estonia,2000,D,Female,3:49,4:45,3:58,10:12,0:08,1:03,0:05,5.9,9,20,110
Estonia,2000,W,Female,1:15,5:13,5:07,11:16,0:04,1:00,0:05,5.9,3,25,121
Estonia,2000,All,Male,4:27,2:33,5:02,10:35,0:06,1:12,0:04,6.0,12,10,110
Estonia,2000,D,Male,5:25,2:19,4:33,10:18,0:08,1:13,0:04,6.0,15,10,110
Estonia,2000,W,Male,2:01,3:08,6:15,11:18,0:04,1:11,0:05,6.0,6,15,121
Estonia,2010,All,All,3:15,3:16,5:03,10:58,0:09,1:19,0:05,6.3,9,15,110
Estonia,2010,D,All,4:05,3:03,4:42,10:40,0:11,1:20,0:05,6.3,12,15,110
Estonia,2010,W,All,1:09,3:51,5:54,11:44,0:06,1:16,0:05,6.3,3,15,121
Estonia,2010,All,Female,2:58,4:00,4:35,10:59,0:10,1:17,0:05,6.3,6,20,110
Estonia,2010,D,Female,3:46,3:46,4:17,10:41,0:12,1:19,0:05,6.3,9,15,110
Estonia,2010,W,Female,1:00,4:35,5:21,11:43,0:06,1:14,0:04,6.3,3,20,121
Estonia,2010,All,Male,3:34,2:25,5:35,10:57,0:08,1:21,0:05,6.3,9,10,110
Estonia,2010,D,Male,4:28,2:12,5:12,10:38,0:09,1:21,0:05,6.3,12,10,110
Estonia,2010,W,Male,1:19,2:59,6:33,11:44,0:05,1:19,0:07,6.3,3,10,121
Finland,2000,All,All,3:09,3:08,5:36,10:31,0:15,1:09,0:12,8.1,9,15,110
Finland,2000,D,All,4:01,3:06,5:04,10:09,0:19,1:10,0:11,8.1,12,15,110
Finland,2000,W,All,0:58,3:15,6:55,11:26,0:06,1:07,0:13,8.1,0,15,121
