GEO,TIME,DAYSWEEK,SEX,emp,household,leisure,pc,study,travel,unspec,happyness,RAND_1,RAND_2,RAND_3
Poland,2000,D,All,3:47,3:41,4:26,10:36,0:15,1:10,0:05,6.2,9,15,110
Poland,2000,W,All,1:23,3:23,6:08,11:40,0:12,1:10,0:05,6.2,3,15,121
Poland,2000,All,Female,2:15,4:45,4:32,11:03,0:14,1:06,0:05,6.2,6,20,121
Poland,2000,D,Female,2:47,4:53,4:07,10:46,0:14,1:07,0:05,6.2,6,20,110
Poland,2000,W,Female,0:53,4:25,5:32,11:46,0:13,1:06,0:05,6.2,0,20,121
Poland,2000,All,Male,4:01,2:22,5:20,10:44,0:14,1:13,0:05,6.1,12,10,110
Poland,2000,D,Male,4:52,2:24,4:45,10:25,0:15,1:13,0:06,6.1,12,10,110
Poland,2000,W,Male,1:54,2:17,6:46,11:32,0:12,1:14,0:05,6.1,3,10,121
Poland,2010,All,All,3:17,3:36,4:50,11:01,0:10,1:07,0:03,7.1,9,15,121
Poland,2010,D,All,4:12,3:38,4:16,10:35,0:11,1:08,0:03,7.1,12,15,110
Poland,2010,W,All,1:16,3:30,6:06,11:57,0:08,1:03,0:02,7.1,3,15,121
Poland,2010,All,Female,2:22,4:39,4:32,11:12,0:10,1:04,0:03,7.0,6,20,121
Poland,2010,D,Female,3:04,4:47,4:04,10:49,0:11,1:06,0:03,7.0,9,20,110
Poland,2010,W,Female,0:50,4:22,5:34,12:04,0:09,1:00,0:03,7.0,0,20,132
Poland,2010,All,Male,4:14,2:28,5:10,10:49,0:10,1:10,0:02,7.1,12,10,110
Poland,2010,D,Male,5:24,2:26,4:28,10:21,0:10,1:11,0:03,7.1,15,10,110
Poland,2010,W,Male,1:42,2:34,6:40,11:50,0:08,1:06,0:02,7.1,3,10,121
Romania,2000,All,All,00:00,00:00,00:00,00:00,00:00,00:00,00:00,6.1,0,0,0
Romania,2000,D,All,00:00,00:00,00:00,00:00,00:00,00:00,00:00,6.1,0,0,0
Romania,2000,W,All,00:00,00:00,00:00,00:00,00:00,00:00,00:00,6.1,0,0,0
Romania,2000,All,Female,00:00,00:00,00:00,00:00,00:00,00:00,00:00,6.0,0,0,0
Romania,2000,D,Female,00:00,00:00,00:00,00:00,00:00,00:00,00:00,6.0,0,0,0
Romania,2000,W,Female,00:00,00:00,00:00,00:00,00:00,00:00,00:00,6.0,0,0,0
Romania,2000,All,Male,00:00,00:00,00:00,00:00,00:00,00:00,00:00,6.2,0,0,0
Romania,2000,D,Male,00:00,00:00,00:00,00:00,00:00,00:00,00:00,6.2,0,0,0
Romania,2000,W,Male,00:00,00:00,00:00,00:00,00:00,00:00,00:00,6.2,0,0,0
Romania,2010,All,All,3:25,3:38,4:13,11:39,0:06,1:00,0:09,6.7,9,15,121
Romania,2010,D,All,4:23,3:39,3:35,11:15,0:08,1:00,0:08,6.7,12,15,121
Romania,2010,W,All,0:58,3:34,5:49,12:39,0:02,0:59,0:11,6.7,0,15,132
Romania,2010,All,Female,2:40,5:01,3:46,11:35,0:07,0:52,0:09,6.6,6,25,121
Romania,2010,D,Female,3:28,5:10,3:11,11:12,0:08,0:52,0:08,6.6,9,25,121
Romania,2010,W,Female,0:41,4:40,5:14,12:30,0:02,0:53,0:11,6.6,0,20,132
Romania,2010,All,Male,4:11,2:10,4:41,11:44,0:06,1:07,0:09,6.9,12,10,121
Romania,2010,D,Male,5:22,2:05,4:00,11:18,0:07,1:08,0:08,6.9,15,10,121
Romania,2010,W,Male,1:16,2:24,6:25,12:49,0:02,1:05,0:11,6.9,3,10,132
Serbia,2000,All,All,00:00,00:00,00:00,00:00,00:00,00:00,00:00,6.9,0,0,0
Serbia,2000,D,All,00:00,00:00,00:00,00:00,00:00,00:00,00:00,6.9,0,0,0
Serbia,2000,W,All,00:00,00:00,00:00,00:00,00:00,00:00,00:00,6.9,0,0,0
Serbia,2000,All,Female,00:00,00:00,00:00,00:00,00:00,00:00,00:00,6.9,0,0,0
Serbia,2000,D,Female,00:00,00:00,00:00,00:00,00:00,00:00,00:00,6.9,0,0,0
Serbia,2000,W,Female,00:00,00:00,00:00,00:00,00:00,00:00,00:00,6.9,0,0,0
Serbia,2000,All,Male,00:00,00:00,00:00,00:00,00:00,00:00,00:00,6.9,0,0,0
Serbia,2000,D,Male,00:00,00:00,00:00,00:00,00:00,00:00,00:00,6.9,0,0,0
Serbia,2000,W,Male,00:00,00:00,00:00,00:00,00:00,00:00,00:00,6.9,0,0,0
Serbia,2010,All,All,2:58,3:27,5:17,10:59,0:10,1:09,0:01,6.3,6,15,110
Serbia,2010,D,All,3:29,3:25,4:58,10:45,0:12,1:11,0:01,6.3,9,15,110
Serbia,2010,W,All,1:40,3:33,6:04,11:34,0:06,1:04,0:01,6.3,3,15,121
Serbia,2010,All,Female,2:12,4:50,4:43,11:01,0:13,1:01,0:01,6.3,6,20,121
Serbia,2010,D,Female,2:38,4:47,4:28,10:49,0:14,1:03,0:01,6.3,6,20,110
Serbia,2010,W,Female,1:06,4:57,5:21,11:32,0:09,0:56,0:01,6.3,3,20,121
Serbia,2010,All,Male,3:48,1:58,5:53,10:56,0:07,1:17,0:01,6.3,9,5,110
Serbia,2010,D,Male,4:25,1:57,5:30,10:40,0:08,1:20,0:01,6.3,12,5,110
Serbia,2010,W,Male,2:16,2:02,6:50,11:37,0:04,1:12,0:02,6.3,6,10,121
Slovenia,2000,All,All,3:17,3:49,4:59,10:31,0:17,1:06,0:02,7.0,9,15,110
Slovenia,2000,D,All,4:05,3:46,4:26,10:16,0:20,1:06,0:02,7.0,12,15,110
Slovenia,2000,W,All,1:16,3:56,6:20,11:11,0:10,1:06,0:02,7.0,3,15,121
Slovenia,2000,All,Female,2:42,4:56,4:27,10:32,0:19,1:02,0:02,6.9,6,20,110
Slovenia,2000,D,Female,3:25,4:52,4:00,10:16,0:22,1:03,0:02,6.9,9,20,110
Slovenia,2000,W,Female,0:55,5:06,5:35,11:10,0:11,1:01,0:03,6.9,0,25,121
Slovenia,2000,All,Male,3:53,2:38,5:31,10:31,0:15,1:10,0:02,7.2,9,10,110
Slovenia,2000,D,Male,4:47,2:36,4:53,10:15,0:18,1:09,0:02,7.2,12,10,110
Slovenia,2000,W,Male,1:37,2:42,7:07,11:11,0:08,1:12,0:02,7.2,3,10,121
Slovenia,2010,All,All,00:00,00:00,00:00,00:00,00:00,00:00,00:00,7.0,0,0,0
Slovenia,2010,D,All,00:00,00:00,00:00,00:00,00:00,00:00,00:00,7.0,0,0,0
Slovenia,2010,W,All,00:00,00:00,00:00,00:00,00:00,00:00,00:00,7.0,0,0,0
Slovenia,2010,All,Female,00:00,00:00,00:00,00:00,00:00,00:00,00:00,7.0,0,0,0
Slovenia,2010,D,Female,00:00,00:00,00:00,00:00,00:00,00:00,00:00,7.0,0,0,0
Slovenia,2010,W,Female,00:00,00:00,00:00,00:00,00:00,00:00,00:00,7.0,0,0,0
Slovenia,2010,All,Male,00:00,00:00,00:00,00:00,00:00,00:00,00:00,6.9,0,0,0
Slovenia,2010,D,Male,00:00,00:00,00:00,00:00,00:00,00:00,00:00,6.9,0,0,0
Slovenia,2010,W,Male,00:00,00:00,00:00,00:00,00:00,00:00,00:00,6.9,0,0,0
Spain,2000,All,All,3:13,3:17,4:51,11:08,0:19,1:10,0:02,7.5,9,15,121
Spain,2000,D,All,4:01,3:18,4:18,10:45,0:23,1:12,0:03,7.5,12,15,110
Spain,2000,W,All,1:10,3:13,6:13,12:06,0:10,1:05,0:02,7.5,3,15,132
Spain,2000,All,Female,2:06,4:55,4:26,11:05,0:20,1:05,0:02,7.4,6,20,121
Spain,2000,D,Female,2:36,5:05,4:00,10:45,0:24,1:08,0:03,7.4,6,25,110
Spain,2000,W,Female,0:51,4:30,5:30,11:56,0:10,0:59,0:02,7.4,0,20,121
Spain,2000,All,Male,4:21,1:37,5:16,11:11,0:18,1:16,0:02,7.6,12,5,121
Spain,2000,D,Male,5:28,1:30,4:36,10:45,0:22,1:17,0:02,7.6,15,5,110
Spain,2000,W,Male,1:30,1:54,6:58,12:16,0:09,1:12,0:02,7.6,3,5,132
Spain,2010,All,All,3:02,3:19,4:53,11:16,0:16,1:14,0:02,7.5,9,15,121
Spain,2010,D,All,3:48,3:19,4:25,10:51,0:19,1:18,0:02,7.5,9,15,110
Spain,2010,W,All,1:08,3:19,6:01,12:18,0:08,1:06,0:01,7.5,3,15,132
Spain,2010,All,Female,2:21,4:33,4:27,11:12,0:16,1:11,0:02,7.5,6,20,121
Spain,2010,D,Female,2:55,4:38,4:03,10:48,0:20,1:15,0:02,7.5,6,20,110
Spain,2010,W,Female,0:53,4:22,5:27,12:11,0:07,1:00,0:01,7.5,0,20,132
Spain,2010,All,Male,3:44,2:04,5:19,11:21,0:15,1:18,0:01,7.4,9,10,121
Spain,2010,D,Male,4:42,1:58,4:48,10:55,0:17,1:20,0:01,7.4,12,5,110
Spain,2010,W,Male,1:22,2:17,6:35,12:25,0:09,1:12,0:01,7.4,3,10,132
United Kingdom,2000,All,All,3:16,3:18,5:08,10:33,0:09,1:27,0:09,7.4,9,15,110
United Kingdom,2000,D,All,4:09,3:08,4:40,10:14,0:10,1:29,0:09,7.4,12,15,110
United Kingdom,2000,W,All,1:04,3:42,6:18,11:20,0:04,1:23,0:09,7.4,3,15,121
United Kingdom,2000,All,Female,2:24,4:15,4:55,10:43,0:09,1:25,0:10,7.4,6,20,110
United Kingdom,2000,D,Female,3:04,4:10,4:33,10:26,0:10,1:27,0:10,7.4,9,20,110
United Kingdom,2000,W,Female,0:44,4:27,5:50,11:27,0:05,1:18,0:09,7.4,0,20,121
United Kingdom,2000,All,Male,4:10,2:18,5:22,10:22,0:08,1:30,0:08,7.4,12,10,110
United Kingdom,2000,D,Male,5:16,2:04,4:48,10:03,0:11,1:31,0:08,7.4,15,10,110
United Kingdom,2000,W,Male,1:26,2:54,6:47,11:11,0:03,1:29,0:09,7.4,3,10,121
United Kingdom,2010,All,All,3:04,3:02,4:59,10:33,0:11,2:11,0:46,7.4,9,15,110
United Kingdom,2010,D,All,3:49,2:54,4:33,10:16,0:12,2:15,0:45,7.4,9,10,110
United Kingdom,2010,W,All,1:13,3:21,6:03,11:14,0:09,2:00,0:47,7.4,3,15,121
United Kingdom,2010,All,Female,2:28,3:52,4:43,10:42,0:10,2:06,0:49,7.4,6,15,110
United Kingdom,2010,D,Female,3:05,3:48,4:22,10:25,0:11,2:09,0:49,7.4,9,15,110
United Kingdom,2010,W,Female,0:54,4:03,5:35,11:24,0:08,1:57,0:48,7.4,0,20,121
United Kingdom,2010,All,Male,3:41,2:11,5:16,10:23,0:12,2:16,0:43,7.4,9,10,110
United Kingdom,2010,D,Male,4:33,2:00,4:45,10:07,0:14,2:22,0:42,7.4,12,10,110
United Kingdom,2010,W,Male,1:32,2:39,6:32,11:05,0:09,2:03,0:46,7.4,3,10,121
